Parent,Investment,Andritz,ATK (Alliant Techsystems),Barrick Gold,Bumitama Agri,Cargill,Chevron,Coal India,Elbit Systems,Gap,Gazprom,GlaxoSmithKline,Glencore Xstrata,Goldcorp,Hyundai Motor Group,Lockheed Martin,Rheinmetall,Royal Dutch Shell,RWE,Samsung Group,Sesa Sterlite,SodaStream International,Vattenfall,Wal-Mart Stores,Zijin Mining,Total
Julius Bär Group,Bondholding,2.3,,2.3,,,,,,3.1,33,7,24,,3.9,,,4,12.7,,,,1.9,6.4,0.3,100.8
,Shareholding,,,2.5,,,5.2,,,,2.4,,,,0.3,,,4,1.5,1.3,,,,0.8,,18.1
KBC Group,Bondholding,,,,,,5.2,,,0,26.2,8.3,2.3,,,,,2.8,35.5,,,,9.1,13,,102.4
,Shareholding,1,,0.6,,,99.8,1.4,,15.1,7.5,17.9,5.1,0.9,20.9,0.2,,28.6,11.2,48.9,0.2,,,31.5,0.2,290.8
Legal & General,Bondholding,,,5.8,,0.1,6.7,,,,0.1,16.5,16.9,,,1.6,,,2.9,5,,,2.8,19.8,,78.4
,Shareholding,1.7,1.5,8.4,,,855.4,1,0,36.3,15.3,3663.00,632,55.7,39.5,180.2,,5854.40,8.7,94.9,2.5,,,445,0.4,11896.10
Lloyds Banking Group,Bondholding,,,,,,,,,,7.4,42.2,78.4,,,,,,93.4,,,,17.1,19.7,,258.1
,Shareholding,10.3,,,,,151.7,0.7,,6,15.9,2966.30,423.7,0.1,39.5,22.4,0.4,6020.10,4.8,110.7,1,,,72.4,0,9846.10
Munich Re,Bondholding,,,19.6,,,20.2,,,,1.7,19.9,39.8,,,,,59,0.2,,,,0.2,65.7,,226.3
,Shareholding,6.4,,4.3,,,15.4,,,3.6,0.4,5.8,0.9,5,,,,1.3,0.8,0.8,,,,18.3,,63
Prudential,Bondholding,,11.8,113,,15.2,329.3,,,4,52.3,297.8,155.2,1.7,4,191,,375.1,0.5,14.6,1.7,,0.3,452.1,,2019.40
,Shareholding,0,1.5,0.4,,,185.7,3.6,,0,6.8,2.3,0.1,0.3,120,102.9,0.5,11.5,0,203.1,9.5,,,50.5,,698.7
Rabobank,Shareholding,,,4.5,,,,,,,,,,0.4,,,,,,,,,,0.8,,5.7
Société Générale,Bondholding,,,3.7,,,,,,,,4.9,8,,,,,6,,,,,,,,22.6
,Shareholding,2.5,0.6,18.1,,,141.3,12.6,,10.1,86.2,88.2,64.2,9.2,49.4,29.8,3,179.6,75.8,112.2,22.2,,,81.8,0.6,987.4
Swiss Re,Bondholding,,,17.3,,,19.1,,,,5.2,20.5,11.3,6,0.1,4.1,,24.5,,,,,,20.5,,128.6
UBS,Bondholding,,,3.2,,16.1,16.2,,,,60.9,23.6,97.8,9.6,40.9,1.8,,34.9,27.9,0.2,50.1,,9,11.3,,403.5
,Shareholding,11,7.7,39.7,,,1088.90,0.5,0.4,68.8,26.3,357.8,247.7,91.5,317.9,154.8,2.2,1899.30,283.9,543.8,1.7,1.4,,527.2,0.3,5673.00
UniCredit,Bondholding,,,16.7,,1,,,,,37.2,7.8,46.7,4.3,19.9,,2.7,7.4,12.6,,,,0.3,0.8,,157.3
,Shareholding,13,,9,,,61.8,1.6,,,55.1,38.1,6.6,10.8,23.9,0.1,0.8,74.2,0.9,52.9,1.8,,,34.6,0.5,385.7
Zurich Insurance Group,Bondholding,,,5.3,,6.9,35,,,,,23.5,4.2,,8.4,9.9,,70.7,,,,,,79.3,,243.2
,Shareholding,,,,,,,,,,,25.5,,,,,,39.1,,,,,,,,64.6
